avoids,escapes,percent avoid,avoid latency,escape latency,trial crossings,mouse,dayOnType,sex
3,27,0.1,3.5,5.648888888888889,59,750,1,Female
4,26,0.13333333333333333,3.2475,5.473461538461539,32,845,3,Female
20,10,0.6666666666666666,2.6380000000000003,5.862,55,843,2,Female
7,23,0.23333333333333334,3.71,5.630434782608695,33,845,4,Female
16,14,0.5333333333333333,3.5112500000000004,5.668571428571427,45,40,7,Female
23,7,0.7666666666666667,3.162173913043478,6.345714285714286,32,45,7,Female
3,27,0.1,2.9466666666666668,5.69888888888889,44,752,1,Female
17,13,0.5666666666666667,2.9458823529411764,5.798461538461537,33,116,3,Male
6,24,0.2,3.6566666666666667,6.425833333333333,45,39,7,Male
1,29,0.03333333333333333,1.08,6.834827586206896,31,36,2,Male
1,29,0.03333333333333333,2.74,7.561724137931034,41,44,2,Female
3,27,0.1,3.4266666666666663,5.756296296296296,31,109,2,Female
6,24,0.2,3.473333333333333,5.52875,46,110,1,Female
20,10,0.6666666666666666,2.0529999999999995,5.561,38,111,2,Female
18,12,0.6,3.312777777777778,6.358333333333334,33,749,5,Female
4,26,0.13333333333333333,2.5125,5.785,33,845,2,Female
8,22,0.26666666666666666,2.7024999999999997,5.577727272727273,30,555,3,Male
24,6,0.8,3.072083333333333,5.565,31,106,7,Female
12,18,0.4,3.214166666666667,6.186111111111111,32,106,3,Female
16,14,0.5333333333333333,3.780625,6.352142857142858,35,749,6,Female
3,27,0.1,2.013333333333333,6.022962962962963,38,40,3,Female
7,23,0.23333333333333334,2.3628571428571425,5.896956521739131,36,38,2,Male
18,12,0.6,3.287777777777778,6.019166666666667,37,35,3,Male
23,7,0.7666666666666667,2.6839130434782614,5.4885714285714275,38,106,4,Female
15,15,0.5,2.990666666666667,5.590666666666667,34,749,4,Female
8,22,0.26666666666666666,1.705,5.7740909090909085,32,556,2,Male
5,25,0.16666666666666666,3.55,7.0812,35,39,4,Male
12,18,0.4,2.6216666666666666,5.41,30,110,6,Female
11,19,0.36666666666666664,3.338181818181818,5.594210526315789,34,38,4,Male
15,15,0.5,3.0633333333333335,5.655333333333334,39,557,7,Male
9,21,0.3,2.966666666666667,5.671904761904762,43,40,4,Female
4,26,0.13333333333333333,3.435,5.586538461538463,44,750,2,Female
11,19,0.36666666666666664,3.647272727272727,5.670526315789473,32,751,4,Female
25,5,0.8333333333333334,3.344,5.8420000000000005,30,752,7,Female
3,27,0.1,3.606666666666667,6.094814814814816,41,35,2,Male
2,28,0.06666666666666667,3.8600000000000003,5.942142857142858,30,941,4,Male
6,24,0.2,3.5316666666666667,5.881249999999999,36,749,3,Female
0,30,0.0,,8.118333333333332,36,44,1,Female
23,7,0.7666666666666667,3.47304347826087,5.478571428571429,45,36,5,Male
4,26,0.13333333333333333,3.8625,5.549999999999999,58,942,1,Male
2,28,0.06666666666666667,4.66,6.1067857142857145,32,39,1,Male
1,29,0.03333333333333333,4.37,5.688275862068966,32,109,4,Female
3,27,0.1,3.6233333333333335,5.646296296296297,30,751,3,Female
10,20,0.3333333333333333,3.681,6.379499999999999,34,39,5,Male
2,28,0.06666666666666667,4.02,5.682857142857143,30,109,6,Female
19,11,0.6333333333333333,3.41,5.609999999999999,31,116,5,Male
17,13,0.5666666666666667,3.812941176470588,6.376923076923077,31,35,7,Male
11,19,0.36666666666666664,3.4036363636363633,5.589999999999999,31,845,5,Female
21,9,0.7,2.8485714285714288,5.417777777777778,30,110,7,Female
2,28,0.06666666666666667,3.9899999999999998,5.781785714285715,31,555,6,Male
5,25,0.16666666666666666,3.2939999999999996,6.7708,38,39,3,Male
2,28,0.06666666666666667,2.715,5.921785714285714,36,749,2,Female
23,7,0.7666666666666667,2.1560869565217398,5.660000000000001,34,942,2,Male
3,27,0.1,2.1333333333333333,6.431111111111111,40,38,1,Male
19,11,0.6333333333333333,2.825263157894737,5.598181818181818,46,750,6,Female
