session_idx,mouse,group,sex,day,date,n_irts,pi_0,pi_1,pi_2,pi_3,pi_4
644,645-L,naive,M,9,240316,1371,0.22127649,0.14737459,0.5413377,0.09001018,9.999995e-07
645,489-2,naive,M,6,220801,440,0.23316698,0.06740473,0.15178382,0.3578637,0.18978077
646,499-2,stress,M,4,220801,976,0.09798775,0.5296837,0.15752071,0.16645616,0.04835172
647,648-0,stress,F,7,240312,310,0.052299388,9.999999e-07,0.2690452,0.4560229,0.22263151
648,725-0,stress,M,13,241209,598,0.19739375,0.3882922,0.07128904,0.265809,0.07721599
649,646-L,stress,M,5,240307,359,9.999998e-07,0.3899674,0.051195,0.42193478,0.13690181
650,649-R,naive,F,3,240304,402,0.028283339,0.20114481,0.3909823,0.1816368,0.19795278
651,723-RL,stress,M,4,241126,473,0.014627135,0.058765788,0.42293593,0.47447082,0.029200325
652,723-RL,stress,M,14,241209,326,0.0065298057,0.07605208,0.33226934,0.37793246,0.20721632
653,580-1,stress,M,13,230717,1122,0.26511422,0.10187078,0.4405365,0.19247748,9.999997e-07
654,822-R,naive,F,8,250908,764,0.2615275,0.010942405,0.2551853,0.4723438,9.999998e-07
655,493-2,naive,F,12,220810,355,0.14457211,0.19754507,0.09348767,0.33405155,0.23034367
656,499-2,stress,M,8,220805,861,0.11435789,0.5198836,0.14059184,0.16906804,0.056098726
657,649-0,naive,F,12,240319,335,0.008821529,0.112170555,0.11101765,0.57798165,0.19000866
658,578.1-2,naive,F,1,230705,286,0.115776785,0.20588665,0.23877265,0.17466402,0.26489988
659,500-3,stress,F,6,220802,446,0.21960175,0.11143124,0.119567685,0.4215879,0.12781146
660,500-2,stress,F,7,220803,740,0.17029001,0.23161697,0.24732368,0.29984346,0.050925847
661,725-R,stress,F,10,241207,247,0.011573654,0.08506984,0.21136463,0.3332733,0.3587186
662,501-1,stress,F,10,220806,662,0.23174077,0.078287356,0.16695216,0.5230187,9.999999e-07
663,645-L,naive,M,6,240311,1250,0.29161116,0.23178628,0.33127686,0.14532475,9.999999e-07
664,722-L,naive,F,2,241120,323,0.10102743,0.2373551,0.22509192,0.16507132,0.27145424
665,723-R,stress,M,6,241128,945,0.056943517,7.946149e-05,0.76697934,0.17599675,9.999998e-07
666,728-L,naive,M,14,241210,345,0.07988741,0.0014229271,0.054333694,0.7060718,0.15828416
667,645-0,naive,M,6,240311,346,0.04996248,0.3168207,0.14077353,0.176104,0.31633928
668,500-2,stress,F,6,220802,855,0.26998606,0.2898794,0.19261204,0.24746723,5.527214e-05
669,821-R,naive,M,14,250919,371,0.011954055,0.3142398,0.20563357,0.28624102,0.18193164
670,822-0,naive,F,5,250904,543,0.016033992,0.3006247,0.21834625,0.37570596,0.0892891
671,500-2,stress,F,12,220808,758,0.0931144,0.15289363,0.3627083,0.39128277,9.999999e-07
672,819-R,stress,M,2,250828,415,0.09403405,0.12617178,0.21057774,0.42595294,0.14326355
673,644-L,stress,M,8,240320,199,0.09475087,9.999994e-07,0.45530602,9.999994e-07,0.4499411
674,499-2,stress,M,6,220803,729,0.036775194,0.5997363,0.106728904,0.1722289,0.08453079
675,645-L,naive,M,5,240307,2012,0.22002417,0.32920828,0.3854179,0.06534868,9.999997e-07
676,489-3,naive,M,3,220730,306,0.11085086,9.999999e-07,0.32959357,0.31179643,0.24775815
677,646-L,stress,M,14,240321,689,0.122438915,0.084642194,0.47334376,0.28365088,0.03592427
678,728-RL,naive,M,4,241127,614,0.1843622,0.23303309,0.058598857,0.49126646,0.032739375
679,648-L,stress,F,2,240229,402,0.013150632,0.27391827,0.21354681,0.23231761,0.26706666
680,648-0,stress,F,14,240321,577,0.049824756,9.999998e-07,0.5729681,0.2692828,0.10792335
681,491-2,naive,F,11,220807,153,0.048244752,9.999998e-07,0.22285904,0.12343009,0.6054651
682,821-0,naive,M,9,250912,263,0.09509497,0.16904311,0.04002656,0.11773177,0.5781036
683,722-RL,naive,F,11,241205,158,0.0645389,0.119378775,0.11955393,0.20284052,0.4936879
684,647-0,naive,M,5,240307,743,0.286217,9.999998e-07,0.5917019,7.858765e-06,0.12207215
685,498-1,stress,M,5,220801,1090,0.40134057,0.25207296,0.21362714,0.13078572,0.0021736142
